,_id,banderaDescripcion,banderaId,comercioId,comercioRazonSocial,direccion,id,lat,lng,localidad,provincia,sucursalId,sucursalNombre,sucursalTipo,geometry
131,5cbc698b7af152186c0cd1c2,Disco,2,9,Jumbo Retail Argentina S.A.,Avenida Beiro Francisco 3560,9-2-237,-34.6002,-58.504,villa devoto,AR-C,237,Beiró.,Supermercado,POINT (-58.504 -34.6002)
132,5cbc698b7af152186c0cd1c3,Supermercados DIA,1,15,DIA Argentina S.A,Av De Los Constituyentes 3836,15-1-1524,-34.5881385,-58.4856644,agronomia,AR-C,1524,1524 - Agronomia,Autoservicio,POINT (-58.4856644 -34.5881385)
133,5cbc698b7af152186c0cd1c4,Express,3,10,INC S.A.,Virrey Del Pino 2527,10-3-674,-34.567072,-58.454065,belgrano,AR-C,674,Virrey del Pino 2527,Autoservicio,POINT (-58.454065 -34.567072)
134,5cbc698b7af152186c0cd1c5,Supermercados DIA,1,15,DIA Argentina S.A,Beiro 4911,15-1-5211,-34.6106075,-58.5195352,villa devoto,AR-C,5211,5211 - Villa Devoto,Autoservicio,POINT (-58.5195352 -34.6106075)
135,5cbc698b7af152186c0cd1c6,Market,2,10,INC S.A.,Av. Fco. Beiró 5204,10-2-515,-34.6132,-58.523415,villa devoto,AR-C,515,Devoto,Supermercado,POINT (-58.523415 -34.6132)
136,5cbc698b7af152186c0cd1c7,Supermercados DIA,1,15,DIA Argentina S.A,Av Francisco Beiro 4567,15-1-5288,-34.60748,-58.514643,villa devoto,AR-C,5288,5288 - Villa Devoto,Autoservicio,POINT (-58.514643 -34.60748)
137,5cbc698b7af152186c0cd1c8,Supermercados DIA,1,15,DIA Argentina S.A,Beiro 5678,15-1-5216,-34.6170364,-58.529055,villa real,AR-C,5216,5216 - Villa Real,Autoservicio,POINT (-58.529055 -34.6170364)
138,5cbc698b7af152186c0cd1c9,FULL,1,19,Operadora de Estaciones de Servicios S.A.,Av. Beiro 5804 Y Av. Gral. Paz 5804,19-1-00149,-34.61813,-58.5302,villa real,AR-C,149,BEIRO,Autoservicio,POINT (-58.5302 -34.61813)
139,5cbc698b7af152186c0cd1ca,Axion Energy,1,23,Pan American Energy LLC Argentina,Av Los Incas 3550,23-1-6291,-34.5751,-58.4652,villa ortuzar,AR-C,6291,Los Incas,Autoservicio,POINT (-58.4652 -34.5751)
140,5cbc698b7af152186c0cd1cb,Supermercados DIA,1,15,DIA Argentina S.A,Av De Los Incas 4355,15-1-354,-34.580357,-58.472993,villa ortuzar,AR-C,354,354 - Villa Ortuzar,Autoservicio,POINT (-58.472993 -34.580357)
141,5cbc698b7af152186c0cd1cc,Supermercados DIA,1,15,DIA Argentina S.A,Beiro 3679,15-1-5221,-34.6014124,-58.5046088,villa devoto,AR-C,5221,5221 - Villa Devoto,Autoservicio,POINT (-58.5046088 -34.6014124)
142,5cbc698b7af152186c0cd1cd,Supermercados DIA,1,15,DIA Argentina S.A,Av De Los Incas 4701,15-1-418,-34.5830372,-58.476676,parque chas,AR-C,418,418 - Parque Chas,Autoservicio,POINT (-58.476676 -34.5830372)
143,5cbc698b7af152186c0cd1ce,Disco,2,9,Jumbo Retail Argentina S.A.,Elcano 3174,9-2-54,-34.5729,-58.4614,belgrano,AR-C,54,Elcano.,Supermercado,POINT (-58.4614 -34.5729)
144,5cbc698b7af152186c0cd1cf,Express,3,10,INC S.A.,Av. De Los Incas 4466,10-3-339,-34.58114,-58.473713,villa ortuzar,AR-C,339,Los Incas 4466,Supermercado,POINT (-58.473713 -34.58114)
145,5cbc698b7af152186c0cd1d0,Market,2,10,INC S.A.,Beiró 3342,10-2-514,-34.598697,-58.500132,villa del parque,AR-C,514,Villa del Parque,Supermercado,POINT (-58.500132 -34.598697)
146,5cbc698b7af152186c0cd1d1,Supermercados DIA,1,15,DIA Argentina S.A,Cl Beiro 3146,15-1-1,-34.5971373,-58.4976429,villa del parque,AR-C,1,1 - Villa Devoto,Autoservicio,POINT (-58.4976429 -34.5971373)
147,5cbc698b7af152186c0cd1d2,Supermercados DIA,1,15,DIA Argentina S.A,Av Elcano 3049,15-1-445,-34.5712254,-58.4586216,colegiales,AR-C,445,445 - Colegiales,Autoservicio,POINT (-58.4586216 -34.5712254)
148,5cbc698b7af152186c0cd1d3,Supermercados DIA,1,15,DIA Argentina S.A,Av De Los Incas 5260,15-1-242,-34.5872269,-58.4821776,parque chas,AR-C,242,242 - Parque Chas,Autoservicio,POINT (-58.4821776 -34.5872269)
149,5cbc698b7af152186c0cd1d4,Express,3,10,INC S.A.,Av. De Los Incas 5174,10-3-360,-34.586703,-58.481354,parque chas,AR-C,360,Los Incas 5174,Autoservicio,POINT (-58.481354 -34.586703)
150,5cbc698b7af152186c0cd1d5,Express,3,10,INC S.A.,Av. Álvarez Thomas 1996,10-3-566,-34.578743,-58.469274,villa ortuzar,AR-C,566,Álvarez Thomas 1996,Autoservicio,POINT (-58.469274 -34.578743)
151,5cbc698b7af152186c0cd1d6,COTO CICSA,1,12,Coto Centro Integral de Comercialización S.A.,Sanabria 3320,12-1-52,-34.6062442,-58.5106551,Devoto,AR-C,52,SANABRIA ,Supermercado,POINT (-58.5106551 -34.6062442)
152,5cbc698b7af152186c0cd1d7,COTO CICSA,1,12,Coto Centro Integral de Comercialización S.A.,Av. Elcano 3002,12-1-22,-34.571895,-58.458683,Belgrano,AR-C,22,ELCANO ,Supermercado,POINT (-58.458683 -34.571895)
153,5cbc698b7af152186c0cd1d8,Hipermercado Carrefour,1,10,INC S.A.,José Pedro Varela 4750,10-1-214,-34.610359,-58.516538,villa devoto,AR-C,214,Villa Devoto,Hipermercado,POINT (-58.516538 -34.610359)
154,5cbc698b7af152186c0cd1d9,Express,3,10,INC S.A.,José Pedro Varela 3191,10-3-315,-34.598396,-58.497333,villa del parque,AR-C,315,Jose Pedro Varela 3191,Autoservicio,POINT (-58.497333 -34.598396)
155,5cbc698b7af152186c0cd1da,Supermercados DIA,1,15,DIA Argentina S.A,Av Cabildo 1426,15-1-417,-34.5672438,-58.4502161,colegiales,AR-C,417,417 - Colegiales,Autoservicio,POINT (-58.4502161 -34.5672438)
156,5cbc698b7af152186c0cd1db,Supermercados DIA,1,15,DIA Argentina S.A,Av Triunvirato 3551,15-1-501,-34.5823064,-58.4716114,villa ortuzar,AR-C,501,501 - Villa Ortuzar,Autoservicio,POINT (-58.4716114 -34.5823064)
157,5cbc698b7af152186c0cd1dc,Market,2,10,INC S.A.,Av. Elcano 3380,10-2-228,-34.575419,-58.459731,colegiales,AR-C,228,Colegiales (Elcano),Hipermercado,POINT (-58.459731 -34.575419)
158,5cbc698b7af152186c0cd1dd,Supermercados DIA,1,15,DIA Argentina S.A,Av Alvarez Thomas 1520,15-1-291,-34.578467,-58.4634818,villa ortuzar,AR-C,291,291 - Villa Ortuzar,Autoservicio,POINT (-58.4634818 -34.578467)
159,5cbc698b7af152186c0cd1de,Supermercados DIA,1,15,DIA Argentina S.A,Simbron 5768,15-1-5189,-34.6202789,-58.5263962,villa real,AR-C,5189,5189 - Villa Real,Autoservicio,POINT (-58.5263962 -34.6202789)
160,5cbc698b7af152186c0cd1df,Express,3,10,INC S.A.,Amenábar 1187,10-3-343,-34.569917,-58.450469,colegiales,AR-C,343,Amenábar 1187,Autoservicio,POINT (-58.450469 -34.569917)
161,5cbc698b7af152186c0cd1e0,Supermercados DIA,1,15,DIA Argentina S.A,Amenabar 1145,15-1-467,-34.5701559,-58.4501603,colegiales,AR-C,467,467 - Colegiales,Autoservicio,POINT (-58.4501603 -34.5701559)
162,5cbc698b7af152186c0cd1e1,Supermercados DIA,1,15,DIA Argentina S.A,Av Elcano 3521,15-1-414,-34.577198,-58.4599651,colegiales,AR-C,414,414 - Colegiales,Autoservicio,POINT (-58.4599651 -34.577198)
163,5cbc698b7af152186c0cd1e2,Express,3,10,INC S.A.,Nazca 3214,10-3-624,-34.598928,-58.491826,villa del parque,AR-C,624,Nazca 3214,Autoservicio,POINT (-58.491826 -34.598928)
164,5cbc698b7af152186c0cd1e3,Supermercados DIA,1,15,DIA Argentina S.A,Soldado De La Independencia 1236,15-1-451,-34.5643568,-58.4399389,palermo,AR-C,451,451 - Palermo,Autoservicio,POINT (-58.4399389 -34.5643568)
165,5cbc698b7af152186c0cd1e4,Market,2,10,INC S.A.,Federico Lacroze 1755,10-2-275,-34.564071,-58.439299,palermo,AR-C,275,Lacroze,Supermercado,POINT (-58.439299 -34.564071)
166,5cbc698b7af152186c0cd1e5,Supermercados DIA,1,15,DIA Argentina S.A,Cl Sanabria 2930,15-1-223,-34.6096892,-58.5076977,villa devoto,AR-C,223,223 - Villa Devoto,Autoservicio,POINT (-58.5076977 -34.6096892)
167,5cbc698b7af152186c0cd1e6,Express,3,10,INC S.A.,Pedro Lozano 3150,10-3-492,-34.601074,-58.494608,villa del parque,AR-C,492,Pedro Lozano 3150,Autoservicio,POINT (-58.494608 -34.601074)
168,5cbc698b7af152186c0cd1e7,COTO CICSA,1,12,Coto Centro Integral de Comercialización S.A.,Av. Elcano 3693,12-1-20,-34.578357,-58.460232,Belgrano,AR-C,20,AV EL CANO ,Supermercado,POINT (-58.460232 -34.578357)
